mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.008273744583129882,0.005314502178222957,0.002218818664550781,0.0008999718792484155,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.6585365853658537,0.6504065040650406,0.6504065040650406,0.6504065040650406,0.6557377049180327,0.6530987604958016,0.0034140504111071102,12,0.6517311608961304,0.6537678207739308,0.6537678207739308,0.6537678207739308,0.6524390243902439,0.6530947295216334,0.0008542159115287647
0.002178382873535156,0.00046339591946015864,0.0017240047454833984,0.0007049208070769798,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.6747967479674797,0.7317073170731707,0.7154471544715447,0.6991869918699187,0.6721311475409836,0.6986538717846196,0.023010632603220074,11,0.7046843177189409,0.6904276985743381,0.6945010183299389,0.6985743380855397,0.7052845528455285,0.6986943851108572,0.00574885111933072
0.0031992912292480467,0.0007480866469753983,0.001400899887084961,0.0004888515941213866,0.001,l2,liblinear,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.7398373983739838,0.8048780487804879,0.7560975609756098,0.7073170731707317,0.7377049180327869,0.74916699986672,0.03200497085390621,10,0.7596741344195519,0.7433808553971487,0.7535641547861507,0.7657841140529531,0.7601626016260162,0.756513172056364,0.0076212181237303766
0.0025997161865234375,0.0007995376914657985,0.001526784896850586,0.0004499244857720809,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.7479674796747967,0.8048780487804879,0.7398373983739838,0.7479674796747967,0.7704918032786885,0.7622284419565506,0.023644792347137504,9,0.7617107942973523,0.7576374745417516,0.7678207739307535,0.7718940936863544,0.7621951219512195,0.7642516516814862,0.005011549928749706
0.0020121097564697265,0.0007350293853006831,0.0013991832733154298,0.0004901548895396348,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7398373983739838,0.7967479674796748,0.7723577235772358,0.7398373983739838,0.7786885245901639,0.7654938024790084,0.022425606246087696,8,0.7780040733197556,0.7576374745417516,0.7718940936863544,0.7780040733197556,0.7682926829268293,0.7707664795588893,0.007543573198848682
0.0022022247314453123,0.00039927117131036805,0.0015010833740234375,0.0006349767422119027,1.0,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7398373983739838,0.8211382113821138,0.7398373983739838,0.7479674796747967,0.7868852459016393,0.7671331467413035,0.032137613415019174,4,0.7820773930753564,0.7596741344195519,0.7841140529531568,0.7820773930753564,0.7764227642276422,0.7768731475502128,0.008973382325881745
0.002106904983520508,0.000664599750026357,0.0017066001892089844,0.0006075158593007978,100.0,l1,liblinear,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.7479674796747967,0.8211382113821138,0.7398373983739838,0.7398373983739838,0.7868852459016393,0.7671331467413035,0.032137613415019174,4,0.780040733197556,0.7596741344195519,0.7841140529531568,0.780040733197556,0.774390243902439,0.775651979534052,0.008567526075772353
0.0022081375122070313,0.000993229144218439,0.0013066768646240235,0.0004107516797601895,10.0,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.7479674796747967,0.8211382113821138,0.7398373983739838,0.7398373983739838,0.7868852459016393,0.7671331467413035,0.032137613415019174,4,0.780040733197556,0.7596741344195519,0.7841140529531568,0.780040733197556,0.774390243902439,0.775651979534052,0.008567526075772353
0.0020011425018310546,1.8929894677428444e-06,0.0011993408203125,0.00039894861177469323,100.0,l2,liblinear,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.7479674796747967,0.8211382113821138,0.7398373983739838,0.7398373983739838,0.7868852459016393,0.7671331467413035,0.032137613415019174,4,0.780040733197556,0.7596741344195519,0.7841140529531568,0.780040733197556,0.774390243902439,0.775651979534052,0.008567526075772353
0.0025350093841552735,0.0006183545247713811,0.0019434452056884765,0.0008360110620335554,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7317073170731707,0.8211382113821138,0.7560975609756098,0.7317073170731707,0.7950819672131147,0.7671464747434358,0.035579335724514397,3,0.780040733197556,0.7596741344195519,0.7820773930753564,0.7759674134419552,0.766260162601626,0.772803967347209,0.008527467257739339
0.003201007843017578,0.0014700731981282058,0.0012053966522216797,0.0005099735933106407,1.0,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7479674796747967,0.8211382113821138,0.7398373983739838,0.7479674796747967,0.7868852459016393,0.7687591630014661,0.030897172203445032,1,0.780040733197556,0.7596741344195519,0.7841140529531568,0.780040733197556,0.774390243902439,0.775651979534052,0.008567526075772353
0.003805255889892578,0.002650068843383249,0.0012032508850097657,0.0004018788661328943,10.0,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.7479674796747967,0.8211382113821138,0.7398373983739838,0.7479674796747967,0.7868852459016393,0.7687591630014661,0.030897172203445032,1,0.780040733197556,0.7596741344195519,0.7841140529531568,0.780040733197556,0.774390243902439,0.775651979534052,0.008567526075772353
