mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0018084526062011718,0.0005960334852716472,0.003709888458251953,0.0014036142950768265,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.6910569105691057,0.6829268292682927,0.6504065040650406,0.7398373983739838,0.6885245901639344,0.6905504464880714,0.02864688422391859,118,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0015027999877929687,0.0004490619196887439,0.0036070823669433595,0.0005771906379051728,manhattan,2,distance,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",0.6910569105691057,0.6829268292682927,0.6504065040650406,0.7398373983739838,0.6885245901639344,0.6905504464880714,0.02864688422391859,118,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0011019229888916016,0.00020399305405839396,0.02012939453125,0.01929834725023666,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.6910569105691057,0.6829268292682927,0.6504065040650406,0.7398373983739838,0.6885245901639344,0.6905504464880714,0.02864688422391859,118,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.026077079772949218,0.030313683960207338,0.017626619338989256,0.010396598460645144,euclidean,2,uniform,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.6666666666666666,0.6991869918699187,0.6747967479674797,0.7154471544715447,0.7704918032786885,0.7053178728508597,0.03691418713395966,117,0.845213849287169,0.8574338085539714,0.8411405295315683,0.8431771894093686,0.8292682926829268,0.8432467338930009,0.0089997820231464
0.0014023780822753906,0.0004896090937546848,0.020168256759643555,0.021002935380873194,manhattan,2,uniform,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.7317073170731707,0.6910569105691057,0.6504065040650406,0.7317073170731707,0.7377049180327869,0.7085165933626549,0.03349388192166462,116,0.8370672097759674,0.8594704684317719,0.8492871690427699,0.8431771894093686,0.8292682926829268,0.843654065868561,0.010319447619937881
0.06810498237609863,0.0021818804485474125,0.023031330108642577,0.0010959751278298293,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.7073170731707317,0.6829268292682927,0.6504065040650406,0.7723577235772358,0.7459016393442623,0.7117819538851127,0.04348120519646733,113,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06700139045715332,0.0018681132994370876,0.01682171821594238,0.00039939880371093746,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.7073170731707317,0.6829268292682927,0.6504065040650406,0.7723577235772358,0.7459016393442623,0.7117819538851127,0.04348120519646733,113,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0016042709350585938,0.00037387805135356264,0.0030065059661865236,0.0003186366470053605,euclidean,2,distance,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}",0.7073170731707317,0.6829268292682927,0.6504065040650406,0.7723577235772358,0.7459016393442623,0.7117819538851127,0.04348120519646733,113,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0015025138854980469,0.0004476748018268541,0.0035056591033935545,0.0015552872922674707,manhattan,4,distance,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}",0.7073170731707317,0.7235772357723578,0.6585365853658537,0.7317073170731707,0.7459016393442623,0.7134079701452752,0.030139961821345037,112,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0019010543823242188,0.00019796034606719832,0.0071162223815917965,0.008469535531723107,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.7154471544715447,0.7317073170731707,0.6504065040650406,0.7479674796747967,0.7622950819672131,0.7215647074503532,0.03888407561677253,111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0013992786407470703,0.0004903695360731016,0.01542658805847168,0.013338422635913262,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7154471544715447,0.7317073170731707,0.6585365853658537,0.7479674796747967,0.7622950819672131,0.7231907237105158,0.03593241239587435,110,0.8492871690427699,0.8533604887983707,0.8676171079429735,0.8553971486761711,0.8394308943089431,0.8530185617538457,0.00913717832642516
0.001502656936645508,0.0004469673385526087,0.0030052661895751953,0.0003166682352909768,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.7073170731707317,0.7479674796747967,0.6910569105691057,0.7479674796747967,0.7459016393442623,0.7280421164867386,0.024126481841621784,109,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0013012886047363281,0.000598751434269821,0.009013843536376954,0.0006307544432586525,manhattan,4,uniform,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}",0.7154471544715447,0.7398373983739838,0.6666666666666666,0.7642276422764228,0.7540983606557377,0.7280554444888712,0.034793754704751594,108,0.7983706720977597,0.8126272912423625,0.8370672097759674,0.8105906313645621,0.7947154471544715,0.8106742503270248,0.014875961181485634
